activity	sp2
Diuretic	Abelmoschus esculentus/Abelmoschus moschatus/Abies balsamea/Abrus precatorius/Acalypha arvensis/Acalypha indica/Acanthospermum australe/Acanthospermum hispidum/Achillea millefolium/Achyranthes aspera/Acnistus arborescens/Aconitum napellus/Acorus calamus/Acrocomia aculeata/Acrtostaphylos uva-ursi/Actaea racemosa/Actinidia polygama/Adiantum capillus-veneris/Adiantum pedatum/Adonis vernalis/Aegle marmelos/Aegopodium podagraria/Agathosma betulina/Agave americana/Ageratum conyzoides/Agrimonia eupatoria/Agrostemma githago/Ajuga chamaepitys/Ajuga retans/Akebia quinata/Albizia julibrissin/Alcea rosea/Alchemilla vulgaris/Aletris farinosa/Alisma plantago-aquatica/Allium cepa/Allium sativum/Allium schoenoprasum/Alnus glutinosa/Aloysia citriodora/Alpinia galanga/Alternanthera pungens/Althaea officinalis/Amaranthus caudatus/Ambrosia arborescens/Ammi visnaga/Amomum aromaticum/Anacardium occidentale/Anagallis arvensis/Ananas comosus/Anemarrhena asphodelioides/Anemone acutiloba/Anemopsis californica/Anemore pulsatilla/Anethum graveolens/Angelica archangelica/Angelica sinensis/Annona squamosa/Antennaria dioica/Anthyllis vulneraria/Aphanes arvensis/Apium graveolens/Apocynum androsaemifolium/Apocynum cannabinum/Aquilegia vulgaris/Arachis hypogaea/Aralia nudicaulis/Aralia racemosa/Araucaria araucana/Arctium lappa/Argemone mexicana/Argyreia nervosa/Aristolochia serpentaria/Aristolochia triangularis/Aristolochia trilobata/Armoracia rusticana/Arnica montana/Artemisia dracunculus/Artemisia vulgaris/Asclepias incarnata/Asclepias syriaca/Asclepias tuberosa/Asimina triloba/Asparagus officinalis/Asparagus racemosus/Aspidosperma quebracho-blanco/Asplenium scolopendrium/Astragalus gummifer/Astragalus membranaceus/Athyrium filix-femina/Atractylodes japonica/Atractylodes lancea/Atractylodes macrocephala/Atropa belladonna/Avena sativa/Azadirachta indica/Baccharis articulata/Bacopa monnieri/Ballota nigra/Bassia scoparia/Batis maritima/Bauhinia forficata/Begonia cucullata/Belamcanda chinensis/Bellis perennis/Berberis vulgaris/Beta vulgaris/Betula lenta/Betula papyrifera/Betula spp./Bidens tripartita/Biophytum sensitivum/Bixa orellana/Blainvillea acmella/Boerhavia diffusa/Borago officinalis/Boswellia sacra/Boswellia serrata/Brassica juncea/Brassica nigra/Brassica oleracea/Bridens pilosa/Bromelia plumieri/Broussonetia papyrifera/Bruddleja americana/Brunfelsia grandiflora/Brunfelsia uniflora/Bryonia alba/Bryonia dioica/Bryophyllum pinnatum/Bupleurum chinense/Bursera simaruba/Buxus sempervirens/Byrsonima crassifolia/Caesalpinia bonduc/Cajanus cajan/Calamintha nepeta/Calendula officinalis/Callicarpa americana/Calluna vulgaris/Calotropis procera/Caltha palustris/Camellia sinensis/Canna indica/Cannabis sativa/Capparis spinosa/Capparis tomentosa/Capraria biflora/Capsella bursa-pastoris/Capsicum frutescens/Capsicum spp./Cardiospermum halicacabum/Carex arenaria/Carica papaya/Carlina acaulis/Carpobrotus edulis/Carthamus tinctorius/Carum carvi/Casearia sylvestris/Cassia grandis/Catharanthus roseus/Caulophyllum thalictroides/Cayaponia tayuya/Cecropia peltata/Cedrus deodara/Cedrus libani/Ceiba pentandra/Celastrus paniculatus/Celastrus scandens/Celosia argentea/Centaurea cyanus/Centella asiatica/Cephalanthus occidentalis/Chamaelirium luteum/Chamaemelum nobile/Chamaesyce hirta/Chamaesyce hypericifolia/Chamissoa altissima/Chelidonium majus/Chenopodium ambrosioides/Chimaphila spp./Chiococca alba/Chionanthus virginicus/Chondrodendron tomentosum/Chuquiraga insignis/Cicer arietinum/Cichorium endivia/Cichorium intybus/Cinnamomum aromaticum/Cinnamomum tamala/Cissampelos pareira/Cissus verticillata/Citrullus colocynthis/Citrullus lanatus/Citrus limon/Clematis recta/Clematis vitalba/Cnicus benedictus/Cochlearia officinalis/Cocos nucifera/Coffea arabica/Cola acuminata/Cola spp./Colchicum autumnale/Collinsonia canadensis/Combretum micranthum/Commelina erecta/Commiphora wightii/Consolida regalis/Convallaria majalis/Conyza bonariensis/Conyza canadensis/Copaifera langsdorffii/Copaifera langsdorfii/Copaifera officinalis/Corchorus olitorius/Cordia ecalyculata/Coriandrum sativum/Cornus officinalis/Costus speciosus/Costus spicatus/Crataegus spp./Crithmum maritimum/Cucumis melo/Cucurbita pepo/Cullen corylifolium/Cuminum cyminum/Cupressus sempervirens/Curculigo orchioides/Curcuma longa/Curcuma zedoaria/Cuscuta epithymum/Cycas revoluta/Cyclanthera pedata/Cydonia oblonga/Cymbopogon citratus/Cynara cardunculus/Cyperus odoratus/Cytisus scoparius/Dalbergia ecastaphyllum/Daphne mezereum/Daucus carota/Desmodium gangeticum/Dianthus chinensis/Dicentra canadensis/Dicentra cucullaria/Dictamnus albus/Digitalis lanata/Digitalis purpurea/Dioscorea bulbifera/Dioscorea spp./Dioscorea villosa/Dipsacus fullonum/Dorema ammoniacum/Dorstenia contrajerva/Dorstenia contrayerba/Duranta erecta/Dysphania ambrosioides/Eclipta prostrata/Elaeis guineensis/Elettaria cardamomum/Eleutherococcus senticosus/Elytrigia repens/Ephedra gerardiana/Ephedra nevadensis/Ephedra spp./Epigaea repens/Equisetum arvense/Equisetum bogotense/Equisetum giganteum/Equisetum hyemale/Eriodictyon californicum/Erithalis fruticosa/Eryngium campestre/Eryngium foetidum/Erythrophleum suaveolens/Erythroxylum coca/Erythroxylum verna/Eschscholzia californica/Eucalyptus globulus/Eucommia ulmodes/Eugenia uniflora/Euonymus atropurpureus/Eupatorium cannabinum/Eupatorium perfoliatum/Eupatorium purpureum/Euphorbia cyparissias/Euphorbia lathyris/Fallopia japonica/Ferula assa-foetida/Ficus carica/Filipendula ulmaria/Foeniculum vulgare/Forsythia suspensa/Fragaria vesca/Fragaria virginiana/Frangula purshiana/Fraxinus excelsior/Fumaria officinalis/Galega offininalis/Galeopsis sp./Galium aparine/Galium odoratum/Galium verum/Garcinia hanburyi/Gardenia jasminoides/Gaultheria procumbens/Genipa americana/Genista tinctoria/Geranium maculatum/Geranium robertianum/Glechoma hederacea/Gliricidia sepium/Glycyrrhiza glabra/Gnaphalium obtusifolium/Gomphrena globosa/Gossypium barbadense/Gossypium herbaceum/Gossypium hirsutum/Gratiola officinalis/Guaiacum officinale/Guariacum officinale/Guariacum Sanctum/Guazuma ulmifolia/Gymnema sylvestre/Gypsophila paniculata/Haematoxylum campechianum/Hamelia patens/Harpagophytum procumbens/Hedeoma pulegioides/Heimia salicifolia/Helianthus annuus/Helichrysum arenarium/Heliotropium indicum/Helleborus niger/Helleborus viridis/Herniaria glabra/Hibiscus sabdariffa/Hibiscus syriacus/Hieracium pilosella/Hippomane mancinella/Holarrhena pubescens/Hordeum vulgare/Hoslundia opposita/Houttuynia cardata/Humulus lupulus/Hydrangea arborescens/Hydrangea paniculata/Hydrastis canadensis/Hymenaea courbaril/Hypericum perforatum/Hyssopus officinalis/Iberis amara/Ilex aquifolium/Ilex guayusa/Ilex paraguariensis/Ilex vommitoria/Illicium verum/Impatiens capensis/Indigofera suffruticosa/Inula helenium/Inula racemosa/Ipomoea alba/Ipomoea hederacea/Ipomoea purga/Iris spp/Iris versicolor/Jasminum officinale/Jatropha curcas/Jatropha gossypiifolia/Juglans regia/Juniperus Communis/Juniperus sabina/Juniperus virginiana/Justicia adhatoda/Kaempferia galanga/Kallstroemia maxima/Kalmia latifolia/Laburnum anagyroides/Lactuca virosa/Lagenaria siceraria/Lamium album/Lansium domesticum/Lantana camara/Laportea aestuans/Larix decidua/Larix laricina/Larrea tridentata/Laurus nobilis/Lavandula spp./Lawsonia inermis/Ledum groenlandicum/Ledum palustre/Lemna minor/Leonotis leonurus/Leonurus cardiaca/Leonurus japonicus/Lepidium sativum/Leucanthemum vulgare/Levisticum officinale/Liatris spicata/Ligustrum lucidum/Lilium candidum/Lilium lancifolium/Lilium martagon/Linaria vulgaris/Linum catharticum/Linum usitatissimum/Liriodendron tulipifera/Lithospermum erythrorhizon/Lithospermum officinale/Lithospermum ruderale/Lobelia inflata/Lobelia siphilitica/Lonicera caprifolium/Lonicera japonica/Luffa acutangula/Luffa aegyptiaca/Luffa operculata/Luma chequen/Lycium barbarum/Lycopersicon esculentum/Lycopodium clavatum/Lycoseris latifolia/Macfadyena unguis-cati/Maclura tinctoria/Mahonia aquifolium/Malmera depressa/Mals domestica/Malva sylvestris/Mangifera indica/Manihot esculenta/Manilkara zapota/Marrubium vulgare/Marsdenia cundurango/Maytenus ilicifolia/Medicago sativa/Melia azedarach/Melilotus offinalis/Menispermum canadense/Mentha longifolia/Mentha pulegium/Mentha spicata/Mentha x/Menyanthes trifoliata/Michelia champaca/Mikania banisteriae/Mikania guaco/Mimosa pudica/Mirabilis jalapa/Mitchella repens/Monarda didyma/Monarda punctata/Morella cerifera/Morinda citrifolia/Moringa oleifera/Morus alba/Morus rubra/Mucuna pruriens/Mucuna rostrata/Musa x/Myrcia multiflora/Myrciaria dubia/Myrica gale/Myroxylon balsamum/Myrrhis odorata/Narcissus tazetta/Nardostachys grandiflora/Nasturtium officinale/Nelumbo nucifera/Nepeta cataria/Neriu oleander/Neurolaena lobata/Nicotiana tabacum/Nigella sativa/Ochroma pyramidale/Ocimum basilicum/Ocimum campechianum/Oenanthe aquatica/Olea europaea/Ononsis spinosa/Onopordum acanthium/Opuntia ficus-indica/Origanum majorana/Origanum vulgare/Orthosiphon aristatus/Oryza sativa/Oxalis acetosella/Pachyrhizus erosus/Pachyrhizus tuberosus/Paeonia suffruticosa/Panax ginseng/Panax quinquefolius/Papaver somniferum/Parietaria officinalis/Parthenocissus quinquefolia/Passiflora caerulea/Passiflora coriacea/Passiflora quadrangularis/Pastinaca sativa/Paullinia cupana/Paullinia pinnata/Peganum harmala/Perilla frutescens/Persea americana/Petasites hybridus/Petiveria alliacea/Petroselinum crispum/Peucedanum ostruthium/Peumus boldus/Phaseolus Iunatus/Phaseolus vulgaris/Phellodendron amurense/Phlebodium aureum/Phoenix dactylifera/Phragmites australis/Phyla dulcis/Phyla scaberrima/Phyllanthus emblica/Phyllanthus niruri/Physalis alkekengi/Physalis angulata/Physalis peruviana/Picea abies/Picramnia pentandra/Pilocarpus spp./Pimenta dioica/Pimpinella saxifraga/Pinellia ternata/Pinus strobus/Pinus sylvestris/Piper aduncum/Piper amalago/Piper auritum/Piper betle/Piper cubeba/Piper methysticum/Piper nigrum/Piper peltatum/Piper umbellatum/Piscidia piscipula/Pistacia lentiscus/Plantago lanceolata/Plantago major/Plantago ovata/Platycladus orientalis/Plumbago Zeylanica/Plumeria rubra/Pogostemon cablin/Polygala amara/Polygonatum multiflorum/Polygonum aviculare/Polygonum bistorta/Polygonum hydropiper/Populus sp./Portulaca oleracea/Potentilla anserina/Primula veris/Priva lappulacea/Prunella vulgaris/Prunus cerasus/Prunus dulcis/Prunus spinosa/Pseudotsuga menziesii/Pulmonaria officinalis/Punica granatum/Pyrola rotundifolia/Pyrus communis/Ranunculus ficaria/Ranunculus sceleratus/Raphanus sativus/Rauvlfia tetraphylla/Rauvolfia caffra/Rauvolfia tetraphylla/Rehmannia glutinosa/Rhamnus cathartica/Rheum australe/Rhododendron ferrugineum/Rhododendron ponticum/Rhus aromatica/Rhus glabra/Ribes nigrum/Ricinus communis/Robinia pseudoacacia/Rosa canina/Rosmarinus officinalis/Rubia cordifolia/Rubia tinctorum/Rubus idaeus/Rubus spp./Ruellia tuberosa/Rumex acetosa/Rumex acetosella/Rumex vesicarius/Ruscus aculeatus/Salvia officinalis/Sambucus canadensis/Sambucus ebulus/Sambucus nigra/Sambucus peruviana/Sambucus racemosa/Sanguisorba officinalis/Sanicula europaea/Santalum album/Saponaria officinalis/Sarracenia purpurea/Sassafras albidum/Satureja sp./Saussurea costus/Schinus molle/Schinus terebinthifolius/Schkuhria pinnata/Scoparia dulcis/Scrophularia nodosa/Scutellaria baicalensis/Scutellaria lateriflora/Sechium edule/Sedum acre/Selenicereus grandiflorus/Sempervivum tectorum/Senecio aureus/Senecio vulgaris/Senna alata/Senna occidentalis/Senna tora/Serenoa repens/Sesamum indicum/Sida acuta/Sida cordifolia/Sida rhombifolia/Silphium laciniatum/Simarouba amara/Simarouba glauca/Sinapis alba/Sisymbrium officinale/Smallanthus sonchifolius/Smilax aristolochiifolia/Solanum dulcamara/Solanum mammosum/Solanum nigrum/Solanum sessiliflorum/Solanum torvum/Solanum tuberosum/Soliago odora/Solidago canadensis/Solidago virgaurea/Sonchus oleraceus/Sorbus americana/Sorbus aucuparia/Sorghum bicolor/Spergularia rubra/Spinacia oleracea/Spondias mombin/Spondias purpurea/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Stellaria media/Stephania tetrandra/Stevia rebaudiana/Stevia rebaudina/Stillingia sylvatica/Strophanthus gardeniiflorus/Strophanthus gratus/Strophanthus hispidus/Strophanthus kombe/Strophanthus sarmentosus/Strychnos nux-vomica/Styrax benzoin/Succisa pratensis/Swertia japonica/Swietenia macrophylla/Symplocarpus foetidus/Syzygium cumini/Tabebuia spp./Tagetes erecta/Tagetes lucida/Tagetes minuta/Tagetes patla/Tagetes pusilla/Talipariti tiliaceum/Tamus communis/Taraxacum officinale/Taxus baccta/Taxus canadensis/Tecoma stans/Tephrosia purpurea/Terminalia arguna/Terminalia bellirica/Terminalia catappa/Terminalia chebula/Tetradium ruticarpum/Teucrium canadense/Teucrium chamaedrys/Teucrium polium/Teucrium scordium/Teucrium scorodonia/Thalictrum foliolosum/Theobroma cacao/Thespesia populnea/Thuja occidentalis/Thymus serpyllum/Thymus vulgaris/Tiarella cordifolia/Tilia spp./Tinospora cordifolia/Toxicodendron pubescens/Trachyspermum ammi/Tradescantia spathacea/Tribulus terrestris/Tridax procumbens/Trifolium pratense/Trigonella foenum-graecum/Trilisa odoratissima/Tropaeolum majus/Tropaeolus majus/Tsuga canadensis/Turbina corymbosa/Turnera diffusa/Tussilago farfara/Ulmus minor/Ulmus rubra/Uncaria tomentosa/Urera baccifera/Urginea maritima/Urtica dioica/Utricularia vulgaris/Vaccinium macrocarpum/Vaccinium myrtillus/Valeriana jatamansi/Valeriana officinalis/Vanilla planifolia/Veratrum album/Veratrum viride/Verbascum spp./Verbena officinalis/Veronica becca/Veronica officinalis/Vetiveria zizanioides/Viburnum opulus/Viburnum prunifolium/Vicia faba/Vinca minor/Vincetoxicum hirundinaria/Viola odorata/Viola tricolor/Viscum album/Vitex negundo/Vitis vinifera/Withania somnifera/Xanthium spinosum/Xanthium strumarium/Zanthoxylum clava-herculis/Zanthoxylum spp./Zea mays/Ziziphus jujuba
Dizziness	Sesamum indicum/Tamarindus indica/Zingiber officinale
DNA binding	Anemopsis californica
DNA Polymerase inhibitor	Phyllanthus niruri
Dog bite	Costus speciosus/Piper nigrum
Dopamine antagonist	Corydalis ambigua
Dopaminergic	Hypericum perforatum/Piper methysticum/Polygonum multiflorum/Ptychopetalum olacoides/Theobroma cacao/Uncaria tomentosa/Vicia faba/Vitex agnus-castus
Dropsy	Allium cepa/Allium sativum/Armoracia rusticana/Capparis spinosa/Capsicum spp./Commiphora myrrhea/Costus speciosus/Curcuma longa/Curcuma zedoaria/Gaultheria procumbens/Juniperus Communis/Moringa oleifera/Myrtus communis/Sassafras albidum/Zingiber officinale
Dry mouth	Piper nigrum
Duodenitis	Curcuma longa/Glycyrrhiza glabra
Duphoric	Papaver somniferum
Dyschezia	Sesamum indicum
Dysentery	Allium cepa/Allium sativum/Bixa orellana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capparis spinosa/Cinnamomum verum/Cocos nucifera/Commiphora myrrhea/Costus speciosus/Ferula assa-foetida/Gaultheria procumbens/Illicium verum/Juniperus Communis/Lindera benzoin/Moringa oleifera/Murraya koenigii/Myristica fragrans/Myrtus communis/Nigella sativa/Persea americana/Piper nigrum/Pistacia lentiscus/Rhus coriaria/Sassafras albidum/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum/Xylopia aethiopica
Dysgeusia	Allium cepa/Curcuma longa/Trigonella foenum-graecum
Dysmenorrhea	Allium cepa/Allium sativum/Alpinia officinarum/Apium graveolens/Armoracia rusticana/Boswellia sacra/Capparis spinosa/Carum carvi/Cinnamomum verum/Cocos nucifera/Commiphora myrrhea/Crocus sativus/Curcuma longa/Cymbopogon citratus/Elettaria cardamomum/Gaultheria procumbens/Glycyrrhiza glabra/Juniperus Communis/Lindera benzoin/Moringa oleifera/Myristica fragrans/Nigella sativa/Persea americana/Pimenta dioica/Piper nigrum/Prunus dulcis/Sassafras albidum/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum/Vanilla planifolia/Zingiber officinale
Dyspepsia	Allium cepa/Allium sativum/Alpinia officinarum/Amomum aromaticum/Amomum compactum/Amomum subulatum/Apium graveolens/Armoracia rusticana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Carum carvi/Ceratonia siliqua/Cinnamomum aromaticum/Cinnamomum verum/Commiphora myrrhea/Costus speciosus/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Cymbopogon citratus/Dipteryx odorata/Elettaria cardamomum/Eryngium foetidum/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Hibiscus sabdariffa/Illicium verum/Juniperus Communis/Kaempferia galanga/Laurus nobilis/Moringa oleifera/Myristica fragrans/Myrtus communis/Nigella sativa/Osmorhiza spp./Persea americana/Peumus boldus/Pimenta dioica/Pimenta recemosa/Piper nigrum/Rhus coriaria/Sassafras albidum/Syzygium aromaticum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Dyspnea	Allium cepa/Allium sativum/Alpinia galanga/Bixa orellana/Capsicum spp./Cinnamomum verum/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Juniperus Communis/Prunus dulcis/Zingiber officinale
Dysuria	Allium cepa/Apium graveolens/Armoracia rusticana/Cinnamomum aromaticum/Cocos nucifera/Commiphora myrrhea/Curcuma longa/Cymbopogon citratus/Elettaria cardamomum/Glycyrrhiza glabra/Hibiscus sabdariffa/Juniperus Communis/Moringa oleifera/Petasites hybridus/Pimenta recemosa/Piper nigrum/Sassafras albidum/Sesamum indicum/Tamarindus indica
Earache	Aframomum sceptrum/Allium cepa/Allium sativum/Alpinia galanga/Capsicum spp./Cinnamomum verum/Cocos nucifera/Commiphora myrrhea/Dipteryx odorata/Elettaria cardamomum/Eryngium foetidum/Glycyrrhiza glabra/Laurus nobilis/Moringa oleifera/Peumus boldus/Prunus dulcis/Tamarindus indica/Zingiber officinale
Herpes zoster	Capsicum spp./Hibiscus sabdariffa
Ecbolic	Agava sisalana/Calendula officinalis/Carica papaya/Citrullus colocynthis/Claviceps purpurea/Commiphora wightii/Crocus sativus/Dianthus chinensis/Elaeis guineensis/Harugana madagascariensis/Indigofera suffruticosa/Jatropha gossypiifolia/Leucaena leucocephala/Medicago sativa/Mentha pulegium/Moringa oleifera/Ruta graveolens/Theobroma cacao/Trigonella foenum-graecum/Withania somnifera
Ecchymotic	Eleutherine bulbosa
Ectoparasite	Carum carvi
Eczema	Costus speciosus/Curcuma longa/Glycyrrhiza glabra/Myristica fragrans/Myrtus communis/Nigella sativa/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Vataireopsis araroba
Edema	Allium cepa/Allium sativum/Apium graveolens/Armoracia rusticana/Boswellia sacra/Capsicum spp./Chromolaena odorata/Cinnamomum aromaticum/Costus speciosus/Crocus sativus/Curcuma longa/Dipteryx odorata/Eryngium foetidum/Gaultheria procumbens/Juniperus Communis/Moringa oleifera/Myrtus communis/Pimenta recemosa/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Edemagenic	Allium sativum/Argemone mexicana/Chondrus crispus/Stillingia sylvatica
Elastase inhibitor	Alchemilla vulgaris/Filipendula ulmaria/Geum rivale/Pimenta dioica/Tamarindus indica/Urtica dioica
Elephantiasis	C. calisaya/C. officinalis/C. pubescens/Curcuma longa/Dipteryx odorata/Pimenta recemosa/Zingiber officinale
Emaciation	Nigella sativa
Embolism	C. calisaya/C. officinalis/C. pubescens
Embolizer	Bletilla striata
Embryotoxic	Argemone mexicana/Carica papaya/Copaifera langsdorffii/Corydalis ambigua/Erythroxylum coca/Hibiscus rosa-sinensis/Maytenus ilicifolia
Emetic	Abrus precatorius/Acalypha indica/Achyranthes aspera/Aconitum napellus/Acorus calamus/Acrtostaphylos uva-ursi/Actaea pachypoda/Actaea spicata/Adiantum capillus-veneris/Adiantum pedatum/Aframomum melegueta/Ailanthus altissima/Aletris farinosa/Allamanda cathartica/Anamirta cocculus/Anaphalis margaritacea/Andira inermis/Anemone acutiloba/Anemopsis californica/Angostura officinalis/Angostura trifoliata/Annona cherimola/Annona glabra/Annona muricata/Apocynum androsaemifolium/Apocynum cannabinum/Aralia racemosa/Aralia spinosa/Argemone mexicana/Artemisia afra/Asclepias incarnata/Asclepias syriaca/Asclepias tuberosa/Asimina triloba/Averrhoa carambola/Ayapana triplinervis/Bacopa monnieri/Banisteriopsis caapi/Baptisia tinctoria/Betula papyrifera/Blainvillea acmella/Bocconia frutescens/Boerhavia diffusa/Bowiea volubilis/Brassica juncea/Brassica nigra/Brownea ariza/Bruddleja americana/Brugmansia x/Brunfelsia grandiflora/Brunfelsia uniflora/Bryonia alba/Bryonia dioica/Buxus sempervirens/Caesalpinia pulcherrima/Caladium bicolor/Calea ternifolia/Calea zacatechichi/Calotropis gigantea/Calotropis procera/Caltha palustris/Capparis tomentosa/Capraria biflora/Carapichea ipecacuanha/Cardiospermum halicacabum/Carlina acaulis/Cassia fistula/Catharanthus roseus/Caulophyllum thalictroides/Cayaponia tayuya/Cedrela odorata/Ceiba pentandra/Celastrus paniculatus/Celastrus scandens/Cephalanthus occidentalis/Chamaelirium luteum/Chamaemelum nobile/Chamaesyce hirta/Chiococca alba/Chromolaena odorata/Cicuta maculata/Cinnamomum camphora/Citrullus colocynthis/Cnicus benedictus/Coccinia grandis/Colchicum autumnale/Collinsonia canadensis/Consolida ajacis/Convallaria majalis/Copaifera langsdorffii/Copaifera langsdorfii/Copaifera officinalis/Crescentia cujete/Croton tiglium/Cucumis melo/Cyclamen europaeum/Cytisus scoparius/Dalbergia ecastaphyllum/Delphinium staphisagria/Dichroa febrifuga/Dioscorea spp./Dioscorea villosa/Echinopsis pachanoi/Eclipta prostrata/Epigaea repens/Erechtites hieraciifolius/Erythronium americanum/Erythrophleum suaveolens/Eschscholzia californica/Espeletia schultzii/Euonymus atropurpureus/Eupatorium cannabinum/Eupatorium perfoliatum/Euphorbia cotinifolia/Euphorbia lathyris/Euphorbia pulcherrima/Euphorbia resinifera/Euphorbia tirucallis/Frangula alnus/Frangula purshiana/Fumaria officinalis/Galanthus nivalis/Galium aparine/Garcinia hanburyi/Gardenia jasminoides/Gaultheria procumbens/Genipa americana/Genista tinctoria/Gillenia stipulatus/Gillenia trifoliata/Gloriosa superba/Gratiola officinalis/Grias neuberthii/Guarea guidonia/Guarea rusbyi/Gustavia augusta/Gymnema sylvestre/Gypsophila paniculata/Hagenia abyssinica/Harugana madagascariensis/Hedera helix/Heimia salicifolia/Helleborus niger/Helleborus viridis/Hippomane mancinella/Hura crepitans/Hydnocarpus spp./Hydrangea arborescens/Hydrastis canadensis/Hypoxis sp./Iberis amara/Ilex aquifolium/Ilex guayusa/Ilex opeca/Ilex paraguariensis/Ilex vommitoria/Impatiens capensis/Indigofera tinctoria/Inula britannica/Iris versicolor/Jacaranda caucana/Jacaranda copaia/Jateorhiza palmata/Jatropha curcas/Jatropha gossypiifolia/Jatropha multifida/Juglans nigra/Justicia adhatoda/Justicia pectoralis/Laburnum anagyroides/Lagenaria siceraria/Larrea tridentata/Laurus nobilis/Lawsonia inermis/Ledum groenlandicum/Ledum palustre/Leonotis leonurus/Leucanthemum vulgare/Leucojum aestivum/Leucojum vernum/Lindera benzoin/Linum catharticum/Linum usitatissimum/Lobelia inflata/Lophophora williamsii/Luffa acutangula/Luffa aegyptiaca/Luffa operculata/Lupinus luteus/Mandragora officinarum/Manilkara zapota/Mansoa alliacea/Matricaria recutita/Medicago sativa/Melia azedarach/Mentha aquatica/Mentha spicata/Menyanthes trifoliata/Mikania guaco/Mimosa pudica/Momordica charantia/Morella cerifera/Morinda citrifolia/Moringa oleifera/Myrica gale/Narcissus psedonarcissus/Narcissus tazetta/Neriu oleander/Nicotiana tabacum/Ochroma pyramidale/Paeonia officinalis/Panax ginseng/Pancratium spp./Paris quadrifolia/Passiflora caerulea/Passiflora foetida/Passiflora incarnata/Passiflora quadrangularis/Paullinia pinnata/Pedilanthus tithymaloides/Peganum harmala/Peumus boldus/Phaseolus Iunatus/Phaseolus lunatus/Phoradendron leucarpum/Phragmites australis/Phyllanthus niruri/Phytolacca americana/Picrorhiza kurrooa/Pilocarpus spp/Pilocarpus spp./Pinus strobus/Piper peltatum/Piscidia piscipula/Podophyllum peltatum/Polygonatum biflorum/Polygonum aviculare/Potalia amara/Prosopis juliflora/Prunella vulgaris/Pseudotsuga menziesii/Psychotria ipecacuanha/Quercus spp./Rauvolfia caffra/Rhamnus cathartica/Rhus glabra/Ricinus communis/Robinia pseudoacacia/Ruellia tuberosa/Rumex crispus/Ruta graveolens/Salvia divinorum/Sambucus canadensis/Sambucus nigra/Sambucus peruviana/Sambucus racemosa/Saponaria officinalis/Sarcostermma acidum/Sassafras albidum/Schoenocaulon officinale/Sclerocarya birrea/Scoparia dulcis/Scutellaria lateriflora/Sedum acre/Senecio vulgaris/Silphium laciniatum/Silphium perfoliatum/Simarouba amara/Simarouba glauca/Simmondsia chinensis/Sinapis alba/Smilax aristolochiifolia/Solanum dulcamara/Solanum nigrum/Solanum tuberosum/Solidago canadensis/Sorbus aucuparia/Spondias mombin/Stachys palustris/Stachytarpheta jamaicensis/Stillingia sylvatica/Strophanthus sarmentosus/Styphnolobium japonicum/Swertia japonica/Symplocarpus foetidus/Tabebuia rosea/Tabernaemontana sananho/Talipariti tiliaceum/Tamarindus indica/Tamus communis/Terminalia catappa/Thevetia peruviana/Toxicodendron pubescens/Trillium erectum/Tylophora indica/Urginea maritima/Veratrum album/Veratrum viride/Verbena officinalis/Veronica officinalis/Veronicastrum virginicum/Viburnum opulus/Viburnum prunifolium/Vinca minor/Vincetoxicum hirundinaria/Viola odorata/Viola tricolor/Viscum album/Warburgia salutaris/Ximenia americana/Xylopia aethiopica
