Aglaia elliptifolia	1609848
Aglaia ferruginaea	
Aglaia forbesii	306504
Aglaia foveolata	1475093
Aglaia gigantea	
Aglaia gracilis	
Aglaia grandis	306506
Aglaia lawii	306522
Aglaia laxiflora	1475101
Aglaia leptantha	1472161
Aglaia leucophylla	306508
Aglaia odorata	210347
Aglaia oligophylla	306510
Aglaia roburghiana	
Aglaia roxburghiana	
Aglaia rubiginosa	1475121
Aglaia silvestris	306516
Aglaia sp.	
Aglaia spectabilis	306526
Aglaia spp.	
Aglaia tenuicaulis	306517
Aglaia tomentosa	306518
Aglaomorpha propinqua	1882416
Aglaonema spp.	
Aglaonema treubii	
Agloonema treubii	
Agnorhiza reticulata	230224
Agonis abnormis	
Agrianthus pungens	1747108
Agrimonia eupatoria	57912
Agrimonia japonica	
Agrimonia pilosa	74656
Agrimonia pilosa var.japonica	
Agrobacterium aurantiacum	44155
Agrobacterium aurantiacum N-81106	
Agrobacterium rhizogenes	359
Agrobacterium sp.	361
Agrobacterium sp. No.19-1	
Agrobacterium tumefaciens	358
Agrocybe chaxingu	84603
Agrocybe cylindracea	64608
Agrocybe sp. HKI 0259	
Agromyces mediolanus	41986
Agropyrum ciliare	
Agropyrum semicostatum	
Agropyrum spp.	
Agrostemma githago	39848
Agrostis curtissii	
Agrostophyllum brevipes	1855353
Agrostophyllum callosum	1855354
Agrostophyllum khasiyanum	
Aigialus parvus BCC5311	
Ailanthus aitissima	
Ailanthus altissima	23810
Ailanthus excelsa	1133704
Ailanthus grandis	
Ailanthus integrifolia	459109
Ailanthus malabarica	
Ailanthus triphylla	
Ailanthus vilmoriniana	
Ainigmaptilon antarcticus	
